A,0.33679,0.218287,0.115362,0.0921596,0.0527273,0.0440522,0.035277,0.0114649,0.0154562,0.0126564,0.0128525,0.016101,0.024902,0.0194176,0.018552,0.0125373,0.0100075,0.0108441,0.00657423
S,0.664693,0.0872547,0.0784432,0.178251,0.0989728,0.0798673,0.0391632,0.0362409,0.018085,0.0343139,0.0198095,0.013859,0.00885136,0.00905978,0.00585597,0.0166965,0.00747049,0.00865359,0.00402247
=,0.845741,0.330358,0.264188,0.134655,0.0709522,0.0683393,0.0292302,0.0332353,0.0304862,0.0280905,0.0140708,0.0105029,0.0103137,0.00686206,0.01469,0.0167283,0.00700184,0.00812445,0.00500472
F,0.542065,0.373568,0.203018,0.133617,0.0275106,0.0641932,0.0349416,0.0310883,0.0198629,0.0228429,0.00798665,0.00763887,0.0182439,0.0170748,0.00900374,0.00997127,0.00665732,0.00375541,0.0109237
E,0.456917,0.173064,0.234943,0.1259,0.101948,0.0342979,0.0270392,0.0193091,0.0284083,0.0313307,0.0102672,0.0133536,0.0169758,0.0181457,0.00735444,0.0061503,0.00792235,0.00800723,0.0176259
1,0.197147,0.145971,0.0661917,0.0288892,0.0317749,0.0269732,0.0174713,0.0131648,0.0103207,0.00973841,0.0167633,0.00933805,0.00782993,0.00773668,0.00552538,0.00906777,0.00613291,0.00633369,0.0059715
<,0.0906361,0.173938,0.0189241,0.032492,0.0432933,0.0302531,0.0237998,0.0216351,0.0198241,0.0158422,0.0104662,0.0128129,0.017398,0.0226892,0.0122394,0.0215492,0.0102421,0.0112562,0.00482318
K,0.387343,0.334496,0.224378,0.112331,0.0603277,0.0373123,0.0445695,0.0274891,0.0453609,0.00433272,0.0101529,0.00270785,0.00824789,0.00909158,0.0143302,0.0111433,0.00861856,0.00468592,0.00539014
K,0.51883,0.243793,0.29234,0.161845,0.132827,0.0804738,0.0159862,0.0231199,0.0470623,0.0419306,0.033584,0.0230706,0.00980341,0.0200421,0.00780381,0.0117154,0.00964383,0.0154971,0.00560921
<,0.072138,0.17988,0.0418697,0.0438128,0.0446505,0.0309476,0.0127466,0.0168138,0.00868973,0.017948,0.0124383,0.0168059,0.0131918,0.0128403,0.0130267,0.0138696,0.00859674,0.0100005,0.00566502
4,0.729072,0.277978,0.414341,0.332252,0.0722712,0.0848626,0.0576712,0.0480673,0.0415078,0.0177258,0.0302658,0.0192255,0.0417576,0.0300845,0.0126158,0.0223953,0.020631,0.0160807,0.0185728
5,0.884331,0.351646,0.265677,0.392644,0.33733,0.0744779,0.0859933,0.0503138,0.0443354,0.0506235,0.0203536,0.0195809,0.0334703,0.0224748,0.0445672,0.0215747,0.00896564,0.0241798,0.0176457
C,0.296397,0.152383,0.145357,0.0761943,0.0540799,0.0464247,0.0178952,0.026231,0.0227018,0.00534052,0.0116258,0.0111151,0.00684083,0.00527696,0.00952582,0.00547968,0.0105727,0.00928724,0.00810655
K,0.628083,0.289225,0.246266,0.0318639,0.0341499,0.11095,0.0560547,0.0345674,0.0141711,0.0228496,0.0215004,0.0142031,0.016155,0.00917307,0.00698933,0.0113175,0.0120771,0.00629886,0.00655888
